name, tests_passed, num_trials, total_time
Euler3D 2: Compiled, true, 33554434, 60048267550
Euler 3D: default, true, 3897510, 60000016437
SWE 2: Compiled, true, 143057786, 60000002121
SWE 1: Default SWE, true, 12734888, 60000005152
Kernel 1: Base Euler, true, 18335244, 60000005688
Kernel 2: Basic Inline, true, 68030061, 60000002260
Kernel 3: Compiled, true, 156942584, 60000002974
