time, problem, kernel_type, cmd
59.80185508728027, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
111.97349739074707, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
97.61850380897522, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
86.17443776130676, SWE, default, SWE/default_kernel/SWE_Default
76.69530892372131, SWE, generated, SWE/generated/SWE_Generated
66.41964173316956, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
68.21963405609131, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
126.7518892288208, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
110.95610332489014, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
97.59040641784668, SWE, default, SWE/default_kernel/SWE_Default
87.55320858955383, SWE, generated, SWE/generated/SWE_Generated
71.62193584442139, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
67.7842857837677, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
126.70161533355713, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
110.68958020210266, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
98.4455213546753, SWE, default, SWE/default_kernel/SWE_Default
89.37870907783508, SWE, generated, SWE/generated/SWE_Generated
71.96544146537781, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
71.82170748710632, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
137.34658765792847, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
120.77858853340149, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
