name, tests_passed, num_trials, total_time
Euler3D 2: Compiled, true, 7498807, 20000002550
Euler 3D: default, true, 1173945, 20000015133
SWE 2: Compiled, true, 39206576, 20000001728
SWE 1: Default SWE, true, 3817462, 20000004694
Kernel 1: Base Euler, true, 5615416, 20000007088
Kernel 2: Basic Inline, true, 19031401, 20000001537
Kernel 3: Compiled, true, 48495705, 20000001678
