name, tests_passed, num_trials, total_time
Euler3D 2: Compiled, true, 2841191, 5000001633
Euler 3D: default, true, 235886, 5000001348
SWE 2: Compiled, true, 11832999, 5000001000
SWE 1: Default SWE, true, 738354, 5000002235
Kernel 1: Base Euler, true, 727299, 5000001331
Kernel 2: Basic Inline, true, 4107364, 5000000874
Kernel 3: Compiled, true, 13476928, 5000001429
