Peano 4 (C) www.peano-framework.org 
build: 2d, no mpi, omp (8 threads), debug level=4
 727301       00:00:00     rank:0       core:7       warning      examples::unittests::main()                             usage: ././src/unittests/UnitTests2d core-count (use default core count=1 now) (file:main.cpp,line:88)
 1135954      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "tarch.la.tests" ..... ok
 1201529      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "tarch.la" ............. ok
 1241252      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "tarch.mpi.tests" ..... ok
 1252051      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "tarch.mpi" ... ok
 1260545      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "tarch" ... ok
 1269200      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection ... ok
 4392608      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "peano4.grid.tests" ....... ok
 4410907      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "peano4.grid" ... ok
 4477195      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "peano4.parallel.tests" ....... ok
 4486939      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "peano4.parallel" ... ok
 4495464      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection "peano4" ... ok
 4503994      00:00:00     rank:0       core:7       info         tarch::tests::TreeTestCaseCollection::run()             running test case collection ... ok
PASS src/unittests/UnitTests2d (exit status: 0)
